A,B,C,D,E,F,G,H,I,target
0.318,1,-,2.164,1,4,5.142,-5.819,0.617,1
0.083,2,-,2.244,3,7,1.918,-3.038,1.064,1
0.895,6,-,2.277,3,9,2.823,-5.294,0.534,1
0.165,9,-,2.027,3,3,5.930,5.374,1.632,1
0.351,1,-,1.925,3,2,6.330,6.333,2.408,0
0.158,8,-,1.811,2,9,4.091,3.167,1.496,0
0.113,4,-,2.503,1,6,5.963,-2.490,1.561,0
0.214,8,-,1.815,2,9,2.065,2.729,1.379,1
0.505,3,+,2.554,3,6,5.370,-5.491,0.378,1
0.695,5,+,1.988,3,4,4.690,0.077,0.992,1
0.351,6,-,1.986,3,3,2.823,-3.044,0.884,1
0.548,7,-,2.180,2,5,6.468,-4.284,0.635,0
0.583,4,+,1.714,1,8,2.262,3.710,1.512,0
0.427,1,+,2.235,2,3,5.203,7.157,2.079,0
0.139,4,-,2.202,2,10,5.642,-5.080,0.926,0
0.797,2,-,2.219,1,8,5.060,7.464,1.350,0
0.456,2,-,2.128,2,10,6.952,5.536,2.003,0
0.049,11,+,2.403,1,2,1.729,-5.589,0.599,0
0.412,9,-,1.863,3,4,6.450,6.760,2.103,0
0.397,5,-,2.477,3,2,6.682,2.646,1.946,0
0.107,9,-,1.820,1,4,7.801,6.120,3.242,0
0.254,5,-,1.876,,8,5.356,-5.880,0.413,0
0.869,7,-,2.605,,8,5.640,7.410,1.477,0
0.049,3,-,2.232,1,5,5.637,-5.114,0.625,0
0.913,4,-,1.929,1,5,2.403,-1.768,0.792,0
0.626,3,+,1.999,1,9,5.896,-2.531,0.570,1
0.175,4,+,1.956,1,10,5.262,-2.622,1.121,0
0.736,5,-,2.287,3,10,6.536,4.272,1.343,1
0.097,2,-,1.877,2,6,6.324,-6.730,0.523,1
0.041,6,-,2.007,1,5,5.606,-4.834,1.147,1
0.739,6,-,1.656,3,7,6.626,5.481,1.049,1
0.777,5,+,1.710,1,6,5.899,3.682,0.996,0
0.983,9,-,2.739,,9,5.947,5.695,1.690,0
0.995,6,-,2.391,1,9,2.816,6.115,1.628,0
0.324,3,-,1.694,1,6,3.390,-3.898,0.543,0
0.806,4,+,2.001,2,1,6.557,8.341,1.272,1
0.029,4,+,1.683,1,1,2.915,8.339,2.259,0
0.967,5,+,1.779,1,8,6.269,5.805,1.061,0
0.972,5,-,2.174,3,3,5.444,-4.273,0.414,0
0.982,5,-,1.690,3,9,5.250,-5.450,0.412,0
0.750,7,-,1.666,1,9,6.642,-5.142,0.463,1
0.228,4,+,1.815,3,4,5.682,-6.978,0.577,1
0.277,1,-,1.898,3,3,1.662,8.431,2.621,0
0.296,3,-,2.108,3,2,6.088,-7.572,0.294,1
0.796,6,+,2.320,3,3,4.747,4.422,1.326,0
0.254,4,-,2.355,2,6,3.811,2.327,1.584,0
0.346,2,-,1.791,2,1,7.556,4.353,1.997,0
0.934,4,-,2.722,2,1,2.716,-4.160,0.519,0
0.254,5,-,1.708,1,9,5.881,-6.532,0.371,0
0.665,7,-,1.703,1,8,5.534,-5.052,0.422,0
0.808,5,-,2.139,3,4,4.399,-4.956,0.500,1
0.641,1,-,1.709,3,7,5.846,-7.465,0.215,1
0.002,5,-,2.423,3,5,6.342,4.203,2.411,1
0.186,5,-,2.164,2,10,5.915,-3.348,1.216,1
0.971,5,+,1.929,1,7,6.872,-5.454,0.278,0
0.460,4,-,1.835,1,4,5.501,2.065,1.028,0
0.392,5,-,1.967,3,6,4.477,7.232,2.345,0
0.164,5,-,1.819,3,8,3.131,6.316,1.743,1
0.770,5,-,2.926,3,10,6.043,-1.719,1.034,1
0.334,9,-,1.742,2,7,7.609,-4.587,0.584,0
0.885,2,-,1.888,1,2,5.509,-1.074,1.031,0
0.528,8,-,1.667,3,8,6.075,-3.598,0.617,0
0.306,5,-,2.724,1,6,3.076,-4.299,0.516,1
0.097,7,+,1.833,2,10,6.290,-2.960,0.901,1
0.643,6,-,1.988,2,8,3.366,2.895,1.244,0
0.611,4,-,1.815,3,7,5.259,-2.312,0.868,1
0.475,6,-,2.308,3,2,6.851,-4.005,0.630,1
0.882,6,+,1.826,,10,3.143,4.777,1.715,0
0.322,11,-,1.672,2,4,2.513,-3.484,0.657,0
0.570,1,+,3.202,1,1,5.291,8.386,2.578,0
0.853,6,-,1.889,2,8,7.237,11.475,1.980,0
0.834,6,-,1.897,,8,5.099,-6.332,0.312,0
0.036,4,+,1.938,1,1,6.172,-4.780,1.237,0
0.527,2,+,1.880,1,6,6.371,9.405,1.695,0
0.046,6,-,1.943,2,7,6.543,-8.533,0.272,1
0.537,3,+,1.963,1,6,2.318,-0.864,1.366,0
0.187,3,-,2.182,2,1,1.444,7.982,1.880,0
0.082,5,-,2.161,1,6,6.769,-2.896,1.519,0
0.209,6,-,1.656,3,6,6.345,9.336,3.331,1
0.012,5,-,1.708,3,8,6.388,7.329,2.142,0
0.219,4,-,2.186,2,10,5.395,1.362,2.203,0
0.189,5,-,2.515,2,2,4.729,2.062,1.332,0
0.383,7,-,2.227,2,6,6.513,-4.584,0.542,0
0.478,2,-,1.664,1,2,7.282,3.145,1.793,0
0.370,5,-,2.992,2,8,6.128,2.066,1.803,0
0.338,5,-,1.899,1,10,5.525,-5.969,0.555,0
0.517,4,-,1.832,2,3,7.461,-4.502,0.557,0
0.678,8,-,2.006,3,3,3.039,-6.173,0.400,1
0.337,8,-,1.798,1,4,6.213,1.983,1.224,0
0.640,6,-,1.694,3,4,6.057,4.208,1.855,0
0.909,3,+,3.559,,2,2.624,4.246,1.584,0
0.476,6,-,1.904,2,9,5.486,5.574,1.540,0
0.030,2,-,1.991,3,7,6.272,-5.646,0.926,1
0.569,4,-,1.738,2,9,5.154,-4.654,0.440,0
0.700,7,-,1.782,,8,5.098,4.991,1.146,0
0.042,5,+,2.605,2,7,2.153,4.319,2.170,0
0.360,5,+,1.766,3,5,3.299,3.667,1.916,0
0.515,1,-,1.908,1,6,3.254,-4.362,0.502,0
0.054,8,+,2.098,,8,6.024,-4.827,1.132,0
0.044,10,-,1.812,2,5,5.275,-8.085,0.263,0
0.985,5,-,1.869,2,7,5.927,-5.979,0.410,0
0.980,4,-,1.688,1,7,7.959,7.584,0.997,0
0.270,10,-,1.767,2,7,5.551,5.710,2.746,0
0.480,6,-,1.765,1,10,1.765,6.762,1.390,0
0.649,2,-,1.815,,5,6.196,-6.037,0.290,0
0.008,6,+,1.705,,10,6.822,9.059,2.547,0
0.979,5,+,2.070,2,10,5.183,-3.491,0.631,0
0.144,5,-,1.993,1,1,6.421,-3.847,1.294,1
0.261,4,+,1.892,3,1,7.405,6.813,1.939,1
0.425,7,-,2.099,2,5,2.431,6.462,2.476,0
0.020,1,-,1.753,2,1,4.316,-6.226,0.600,0
0.970,1,+,1.875,3,3,5.779,-7.287,0.204,1
0.682,4,-,1.716,2,4,6.792,8.118,2.357,0
0.974,6,+,2.047,1,9,5.148,5.456,1.299,0
0.714,2,-,1.768,2,1,1.843,2.510,1.353,1
0.075,10,+,1.663,2,6,7.361,-3.096,1.157,1
0.001,5,+,1.935,3,4,6.220,2.981,3.164,0
0.625,2,-,2.290,3,6,7.406,8.752,1.689,0
0.257,4,-,2.484,3,8,5.674,3.479,1.353,1
0.582,5,-,2.751,,1,4.531,-6.328,0.446,1
0.978,8,-,2.593,1,8,2.338,-3.661,0.404,0
0.796,5,-,2.227,3,9,1.804,-2.685,0.855,1
0.091,6,-,2.016,1,1,6.077,5.439,3.095,0
0.882,2,-,1.664,2,6,5.905,5.374,1.314,0
0.907,3,-,1.819,1,3,6.378,6.940,1.828,0
0.883,3,-,1.781,3,2,6.167,-3.913,0.384,1
0.702,4,-,1.995,2,1,5.085,-3.251,0.813,0
0.047,6,-,1.788,2,2,5.470,-5.657,0.893,0
0.179,4,-,2.141,3,6,6.823,3.612,1.675,1
0.874,4,-,1.958,3,8,5.838,-5.049,0.554,1
0.092,9,-,2.005,,8,1.417,6.329,3.149,0
0.341,6,-,2.960,3,2,1.645,-6.718,0.555,1
0.763,4,-,1.717,3,9,6.383,2.687,1.461,1
0.429,5,-,1.786,3,3,5.608,5.544,1.636,1
0.738,4,-,2.412,3,3,6.207,2.665,0.905,1
0.685,2,-,1.828,1,7,2.203,3.295,0.906,0
0.567,4,+,2.032,3,6,6.609,3.278,1.621,0
0.484,7,-,1.933,2,9,7.235,-4.299,0.681,0
0.863,5,-,2.100,1,7,3.331,-9.587,0.039,0
0.875,3,-,2.361,1,10,6.245,-2.853,0.829,1
0.585,4,-,1.805,3,8,8.343,4.490,1.364,1
0.278,5,-,2.176,1,1,5.756,2.290,2.233,0
0.926,4,+,1.687,1,10,7.328,5.438,1.695,0
0.899,4,-,2.787,1,5,2.938,-9.070,0.080,0
0.784,5,-,2.067,1,8,5.654,-4.638,0.674,1
0.004,3,-,2.420,1,7,6.141,2.086,2.671,0
0.007,3,-,2.165,2,8,7.431,-2.446,1.105,1
0.000,1,-,2.076,1,9,5.751,-3.295,1.484,0
0.938,4,+,2.494,3,8,2.571,-6.113,0.266,1
0.182,10,-,1.677,3,10,4.789,6.681,3.178,0
0.765,9,-,2.056,3,6,6.747,-6.453,0.229,1
0.047,6,-,1.738,1,5,3.314,-8.688,0.249,0
0.035,6,-,2.226,3,3,7.726,5.535,2.480,1
0.571,5,-,1.870,2,7,3.126,5.602,1.220,0
0.258,3,-,1.695,,1,5.745,3.576,1.518,0
0.945,7,-,2.265,1,9,5.197,-5.217,0.377,0
0.501,2,-,1.808,2,8,6.188,-1.398,1.031,0
0.008,5,-,1.822,1,1,2.177,-6.456,0.834,0
0.996,4,-,2.730,3,5,2.437,-7.325,0.214,1
0.662,3,-,1.941,1,4,6.115,-3.279,0.760,0
0.516,4,-,2.085,1,7,5.723,-5.037,0.518,0
0.093,4,-,1.774,2,1,2.940,-4.785,0.806,1
0.608,5,+,2.504,2,6,2.807,-9.134,0.096,0
0.920,6,-,2.048,3,1,6.470,-5.546,0.448,1
0.022,7,+,1.771,3,4,4.212,5.562,2.271,0
0.198,1,-,2.503,2,9,5.893,-2.294,1.295,1
0.915,4,-,1.721,2,9,3.789,-3.691,0.395,0
0.372,6,-,1.795,1,2,7.586,3.568,1.440,0
0.508,2,+,2.016,1,3,5.078,-6.596,0.339,0
0.185,4,-,1.825,3,8,6.272,5.642,2.777,1
0.001,4,-,1.693,3,9,2.956,4.216,1.953,0
0.037,8,-,1.748,2,9,6.150,4.328,2.074,0
0.488,2,+,2.583,3,6,6.248,-0.986,1.150,0
0.752,8,-,1.763,1,3,5.187,-3.728,0.699,0
0.020,9,-,1.713,3,2,3.381,7.263,3.071,0
0.958,5,+,1.872,3,6,5.526,5.374,1.027,1
0.543,9,-,2.047,2,8,5.020,-3.216,1.001,0
0.822,5,-,2.409,3,9,4.184,5.683,1.231,0
0.223,4,-,1.678,3,4,3.346,2.992,2.111,1
0.416,9,-,2.239,,2,5.873,3.082,2.120,0
0.838,10,-,1.672,2,4,3.051,5.132,1.259,0
0.964,7,-,1.755,1,1,5.835,-6.704,0.208,0
0.014,2,-,1.843,2,5,6.953,-1.243,1.624,0
0.902,5,-,1.721,2,6,1.915,-7.718,0.239,1
0.280,7,-,1.716,3,6,3.637,3.570,1.621,0
0.634,3,-,1.654,3,7,3.958,-5.892,0.547,0
0.800,2,-,2.058,2,1,7.507,-1.415,0.825,0
0.999,2,-,2.260,2,2,5.871,-4.227,0.549,0
0.154,8,-,1.755,1,1,4.828,-0.342,1.651,0
0.192,4,-,1.917,2,4,4.414,-8.461,0.177,1
0.749,5,+,1.692,1,1,6.756,3.789,1.284,0
0.144,7,+,1.797,2,5,1.660,5.771,1.871,0
0.176,6,-,2.701,3,5,4.019,3.798,1.671,0
0.934,6,-,2.581,2,2,3.953,-4.271,0.333,0
0.237,4,-,1.975,1,5,3.387,-4.926,0.573,0
0.845,3,-,1.674,1,6,7.096,-6.897,0.376,0
0.046,5,-,1.858,2,4,2.385,5.437,3.541,0
0.306,5,-,1.779,1,7,3.563,-7.285,0.465,0
0.990,4,-,1.837,1,3,6.261,-2.427,0.697,0
0.198,5,-,2.584,3,7,5.817,-3.708,0.921,0
0.848,4,-,1.665,1,10,4.299,3.565,0.937,0
0.854,6,+,1.755,,10,3.259,4.543,1.752,0
0.986,8,-,2.047,2,7,6.243,2.849,1.321,0
0.522,4,+,2.489,3,8,6.298,-9.197,0.100,1
0.197,5,-,2.107,2,7,5.189,-2.188,1.144,0
0.984,4,-,1.905,2,1,4.305,-6.641,0.307,0
0.631,10,-,1.987,3,2,2.518,-4.073,0.533,1
0.840,6,+,2.414,3,3,6.827,-4.119,0.474,1
0.511,6,-,1.864,3,8,7.167,2.290,1.129,1
0.984,4,-,2.289,2,9,3.730,4.938,1.455,0
0.570,6,-,1.856,2,3,4.522,6.237,1.213,0
0.967,2,-,1.741,1,9,5.856,-5.449,0.347,0
0.746,8,-,2.082,3,4,7.586,-6.075,0.495,1
0.088,5,+,2.077,3,1,6.382,-2.170,1.495,1
0.998,2,-,1.660,1,1,6.354,7.765,1.191,0
0.857,2,+,1.862,3,4,3.417,-6.998,0.185,1
0.919,4,+,2.393,3,6,5.412,-2.356,0.491,1
0.148,3,-,2.915,3,1,6.822,3.764,2.100,1
0.357,5,-,2.144,2,2,2.625,5.458,1.792,0
0.988,4,-,2.729,1,5,5.483,-6.014,0.226,0
0.976,7,+,1.656,3,10,4.376,8.660,1.726,0
0.182,4,-,1.821,1,8,5.985,-7.308,0.425,0
0.769,10,-,2.368,2,1,7.357,-6.621,0.347,1
0.819,4,-,1.891,1,1,7.067,-2.625,0.774,0
0.790,8,+,1.696,1,1,5.201,8.237,1.635,0
0.629,6,-,2.333,3,9,6.410,4.988,1.640,0
0.399,4,-,2.023,1,10,3.934,5.617,2.292,0
0.050,3,-,1.720,3,7,3.787,-2.806,1.536,0
0.215,13,-,1.696,1,7,4.214,-4.227,0.904,0
0.938,3,-,1.929,3,5,3.195,3.683,1.138,0
0.552,4,+,1.876,3,9,6.551,-6.085,0.363,1
0.128,6,+,2.232,3,6,6.323,-7.280,0.310,1
0.902,4,-,1.895,,7,3.951,-7.472,0.292,0
0.954,1,-,1.715,2,3,3.443,5.569,1.182,0
0.046,7,+,1.871,3,5,1.739,-1.964,1.880,1
0.011,1,-,1.813,3,7,5.074,-0.572,1.584,0
0.976,8,+,1.715,1,3,1.477,5.560,1.365,0
0.902,7,-,2.150,3,1,1.549,3.223,1.546,1
0.712,5,+,1.672,2,7,5.129,5.076,1.474,0
0.524,6,-,1.779,3,7,2.743,-3.609,0.594,0
0.235,6,-,1.704,1,1,5.835,-4.084,1.068,0
0.860,3,-,1.841,3,9,5.078,-4.317,0.345,1
0.150,7,-,2.026,1,9,5.545,-5.651,0.775,0
0.053,4,-,2.144,,1,5.490,5.671,3.603,0
0.730,2,-,1.780,2,3,2.823,3.602,1.728,0
0.486,5,-,1.792,1,7,3.184,-5.161,0.433,0
0.939,7,+,1.806,1,5,6.564,4.807,1.011,0
0.754,3,-,1.788,2,7,4.258,-3.844,0.687,0
0.918,4,-,1.911,3,10,5.821,-7.209,0.188,0
0.454,5,-,1.721,3,5,6.575,6.003,1.486,0
0.943,5,-,3.317,2,10,5.559,6.310,1.817,0
0.286,6,-,2.988,2,2,6.589,6.938,2.061,1
0.749,2,-,1.711,,9,3.103,-5.223,0.346,0
0.308,5,-,2.279,1,4,5.522,-6.087,0.679,0
0.017,6,+,1.885,1,3,3.208,-4.100,0.759,0
0.528,3,+,2.273,1,4,5.696,-7.308,0.259,0
0.019,4,+,2.363,1,5,5.379,-4.562,1.275,0
0.009,4,+,1.832,3,5,3.852,6.371,3.585,0
0.244,4,-,2.028,3,10,5.561,2.394,1.841,1
0.072,4,-,2.137,3,10,5.277,-5.372,0.918,1
0.842,4,-,1.735,3,2,5.541,5.670,1.502,0
0.382,5,-,1.889,,3,6.647,-6.155,0.383,0
0.382,5,-,1.707,3,7,6.323,6.450,2.077,0
0.297,4,-,1.779,3,4,5.077,-9.907,0.009,1
0.596,11,-,2.174,1,2,5.063,-5.402,0.400,0
0.662,8,-,2.163,2,2,4.217,3.575,1.248,0
0.863,5,-,1.880,1,9,3.246,4.031,1.076,0
0.215,5,+,1.873,1,3,3.521,3.139,1.849,0
0.692,9,-,2.154,2,5,5.697,-4.410,0.655,1
0.870,5,+,1.852,3,5,5.925,-0.203,1.104,1
0.490,6,-,2.091,,7,6.247,-3.975,0.624,0
0.872,1,-,2.772,2,6,5.349,-8.570,0.121,0
0.619,2,-,2.004,3,6,6.354,2.723,1.101,1
0.951,5,-,1.850,1,9,2.799,7.187,1.350,0
0.825,2,-,1.744,1,1,5.062,-5.347,0.409,1
0.967,15,-,2.593,3,1,4.060,6.005,1.498,0
0.634,4,-,1.856,3,2,6.213,3.903,1.401,1
0.986,4,-,1.729,3,1,3.591,5.872,1.289,0
0.451,3,-,1.745,3,5,6.656,2.706,1.472,0
0.013,7,-,1.773,1,10,6.945,-0.084,1.708,0
0.630,3,-,1.962,1,6,5.483,-3.883,0.775,0
0.935,8,-,1.689,1,9,6.334,3.528,1.449,0
0.262,2,+,1.690,3,4,2.970,2.711,1.809,0
0.482,7,-,2.171,2,6,7.545,5.670,2.237,0
0.227,2,+,1.884,1,2,3.020,7.233,2.032,0
0.453,6,-,1.713,2,9,6.586,-5.427,0.549,1
0.079,5,-,2.004,,7,6.809,-6.273,0.667,0
0.669,8,-,3.152,2,4,4.547,-8.047,0.204,0
0.329,4,-,1.920,3,9,6.618,3.331,1.344,0
0.281,6,-,1.692,1,5,5.642,-0.934,1.588,0
0.096,6,-,2.433,,9,7.514,1.212,1.808,0
0.946,4,-,2.556,2,9,5.428,1.152,1.190,0
0.925,3,+,1.900,1,7,3.802,-5.596,0.409,0
0.322,6,-,2.300,3,2,7.140,6.196,1.501,1
0.176,7,-,2.188,3,7,4.492,6.205,2.201,0
0.905,10,-,2.533,1,3,5.504,-6.005,0.405,0
0.039,3,-,1.783,1,7,6.160,4.106,2.464,0
0.745,5,-,2.378,2,3,6.667,-2.231,0.875,1
0.285,3,-,1.907,,2,6.202,3.644,2.073,0
0.006,2,-,1.680,,9,6.032,3.243,3.002,0
0.866,3,+,1.873,3,2,7.104,5.377,1.388,1
0.910,9,-,2.194,1,7,6.872,6.886,1.947,0
0.851,5,-,1.837,1,10,6.330,-4.346,0.682,0
0.736,7,-,1.879,1,7,5.699,6.283,1.992,0
0.786,6,-,1.950,1,5,3.258,-3.886,0.590,0
0.813,5,-,1.971,2,9,6.903,-4.173,0.482,0
0.993,5,-,2.266,,8,4.246,5.552,1.551,0
0.555,7,+,1.843,2,4,6.132,6.079,1.696,0
0.449,3,-,1.716,2,9,6.789,-6.288,0.559,1
0.581,9,+,2.088,,4,3.692,4.687,1.944,0
0.103,5,-,2.582,3,5,3.202,2.584,1.608,1
0.548,1,+,2.104,1,9,3.356,7.843,2.079,0
0.765,7,-,1.842,2,8,6.088,5.355,1.676,0
0.911,7,-,3.036,,7,6.123,-2.928,0.576,0
0.215,5,-,2.356,3,10,7.130,6.216,2.316,1
0.116,7,-,2.005,3,6,2.989,4.934,2.771,1
0.208,3,-,2.676,3,3,2.652,6.278,2.098,1
0.014,0,-,1.701,3,4,6.213,-1.947,1.297,1
0.688,6,-,1.944,2,9,3.153,3.014,1.724,0
0.996,3,+,1.965,3,2,3.798,-5.258,0.464,0
0.525,5,-,1.744,2,9,6.254,4.293,1.664,0
0.561,5,+,2.148,1,9,4.740,-2.206,0.607,0
0.488,7,-,2.436,3,10,7.917,7.235,1.581,0
0.279,5,-,1.998,2,5,6.088,-6.991,0.396,1
0.008,4,-,1.659,3,8,3.454,-4.830,0.740,0
0.112,2,-,1.958,3,10,7.220,3.845,2.337,1
0.973,7,+,1.896,2,2,5.670,6.134,0.941,0
0.556,6,-,1.926,2,1,7.103,-1.908,0.638,0
0.723,6,+,1.674,3,4,5.765,-4.500,0.387,1
0.293,9,+,2.114,2,10,6.293,-1.526,0.958,0
0.652,5,-,2.206,3,2,2.222,-4.736,0.473,0
0.007,8,-,1.667,3,9,5.523,4.579,3.556,0
0.988,6,-,2.333,1,6,2.301,1.376,1.128,0
0.494,3,-,1.989,3,4,5.863,-6.441,0.447,0
0.711,5,+,1.807,2,2,4.680,-3.614,0.746,0
0.017,6,-,2.072,2,2,5.413,3.171,1.844,0
0.443,4,+,1.883,1,6,3.867,-5.445,0.432,0
0.800,7,-,1.885,1,8,2.775,-6.001,0.390,0
0.143,4,-,1.725,1,9,5.464,-4.247,0.739,0
0.791,4,+,2.345,1,10,5.240,-6.822,0.242,0
0.209,6,-,1.718,,8,6.233,-7.064,0.564,0
0.060,5,-,1.808,3,9,7.842,-2.518,1.576,0
0.060,5,-,1.778,1,1,4.755,-6.581,0.472,1
0.052,6,-,1.661,2,4,5.401,-8.057,0.300,1
0.087,2,-,2.107,2,1,6.127,5.989,1.958,1
0.029,4,-,2.355,3,9,6.477,3.217,2.900,1
0.297,2,-,1.910,1,4,3.609,7.823,2.620,0
0.458,3,-,1.682,3,9,6.466,-5.438,0.585,0
0.252,5,-,1.694,1,7,2.936,-4.003,1.091,0
0.077,2,-,1.991,2,6,6.667,-4.843,1.038,1
0.863,10,-,2.258,3,10,3.188,-5.147,0.342,1
0.725,4,-,2.151,3,7,6.258,-0.170,1.189,1
0.743,5,+,1.737,1,3,5.839,-5.178,0.461,0
0.674,4,-,2.071,3,1,3.210,3.219,1.122,0
0.896,4,+,1.655,3,9,6.168,-2.842,0.834,1
0.904,8,-,1.696,2,9,5.807,-4.535,0.475,0
0.244,3,-,1.856,2,5,5.548,-6.441,0.592,0
0.724,5,-,2.583,2,10,3.737,-3.973,0.461,0
0.812,1,-,2.446,2,5,3.475,-4.676,0.638,0
0.741,7,-,2.298,2,4,7.101,5.783,1.304,0
0.866,6,-,2.399,3,1,6.509,-3.612,0.735,1
0.575,1,-,1.748,1,8,6.491,6.098,1.878,0
0.076,6,+,2.207,2,5,5.902,-7.262,0.446,1
0.182,5,+,1.833,2,1,3.330,6.143,2.898,0
0.291,6,-,2.280,3,2,5.915,-5.633,0.566,1
0.563,6,+,1.737,1,10,6.447,5.112,1.368,0
0.383,9,-,1.662,3,2,5.585,-2.309,1.025,0
0.301,6,-,2.365,2,7,4.778,-8.770,0.215,1
0.001,5,-,3.174,3,2,2.775,3.534,3.183,1
0.627,4,-,2.229,1,9,6.549,-1.998,1.048,0
0.042,3,+,2.584,,5,4.223,5.875,2.205,0
0.011,0,-,2.399,1,1,6.054,-0.168,2.254,0
0.361,3,-,1.952,1,10,4.909,-3.025,1.192,0
0.065,8,-,1.884,3,7,5.807,-3.411,1.367,1
0.865,2,+,1.959,1,7,3.497,5.868,1.371,0
0.889,4,+,1.698,3,10,5.760,-5.382,0.513,1
0.758,3,-,2.046,3,2,5.672,-8.271,0.204,1
0.371,1,-,2.394,1,5,6.287,-5.975,0.445,0
0.121,2,+,1.999,3,5,4.747,-6.152,0.611,0
0.516,5,-,1.769,1,2,5.250,-2.235,0.983,0
0.891,7,-,2.806,2,5,4.305,-9.628,0.033,1
0.130,9,-,2.596,3,7,4.996,9.808,3.899,1
0.481,2,+,2.866,1,6,2.537,7.073,2.481,0
0.896,7,+,2.146,1,2,3.665,3.657,1.228,0
0.697,4,-,1.697,3,4,6.158,-5.782,0.330,1
0.821,7,+,1.867,,1,3.293,4.802,1.356,0
0.764,8,-,1.908,1,3,2.872,3.881,1.445,0
0.603,6,-,2.438,,10,2.215,6.843,1.525,0
0.734,4,-,2.386,2,8,6.440,-4.024,0.410,1
0.510,7,-,1.835,3,1,5.908,6.038,1.308,0
0.337,5,-,1.859,1,2,6.054,-8.592,0.172,0
0.853,6,-,1.888,2,3,6.639,-7.426,0.251,1
0.211,5,-,2.020,3,6,6.233,-7.108,0.478,1
0.131,3,-,2.268,3,8,3.129,-4.649,0.800,1
0.312,8,+,1.858,,7,1.323,-3.272,1.098,0
0.618,6,-,1.879,3,8,6.569,5.021,1.580,0
0.849,4,+,1.777,,9,5.463,-0.080,0.648,0
0.699,5,-,1.716,3,3,4.481,-2.936,0.523,0
0.887,6,-,1.662,3,3,6.007,1.117,1.274,0
0.206,3,-,1.882,1,7,5.416,4.407,2.004,1
0.488,2,-,1.729,1,10,3.235,3.448,1.125,0
0.507,13,-,1.686,2,10,5.209,-7.018,0.418,0
0.556,6,+,1.827,1,5,6.598,-5.066,0.663,0
0.074,8,+,1.751,1,10,2.448,-3.571,1.432,0
0.010,4,-,2.034,3,6,6.940,-4.407,0.875,1
0.586,6,-,2.079,3,6,6.522,5.519,1.556,0
0.044,4,-,1.833,,8,5.123,-5.974,0.839,0
0.786,7,-,1.657,2,3,3.377,-8.008,0.210,1
0.214,1,-,2.046,2,3,5.353,-1.517,1.007,0
0.227,9,-,1.780,2,8,3.227,-2.504,1.051,1
0.527,5,-,2.034,3,9,3.400,3.489,1.306,0
0.043,2,-,1.974,,3,3.600,-3.404,1.077,0
0.018,5,-,1.884,1,8,5.873,-7.316,0.463,0
0.801,2,+,2.371,3,2,6.107,-2.426,0.813,1
0.724,1,-,1.987,2,9,2.542,6.961,1.776,0
0.054,2,+,2.285,,4,5.840,8.369,4.219,0
0.284,9,-,2.857,1,3,3.174,-5.202,0.812,0
0.574,4,-,2.535,3,10,6.611,-6.106,0.355,1
0.286,1,+,1.732,3,8,5.231,-5.764,0.410,0
0.977,6,-,1.841,2,9,3.831,3.562,0.854,0
0.983,4,-,1.752,2,4,3.125,-7.052,0.203,0
0.594,6,-,1.963,1,5,6.456,8.081,2.207,0
0.015,2,-,2.021,2,6,2.987,-2.770,1.522,0
0.321,2,-,1.699,3,5,3.129,9.558,1.932,0
0.996,4,-,1.907,3,7,2.662,0.450,0.964,0
0.624,3,-,2.008,2,10,5.472,-2.627,0.610,0
0.925,4,-,1.876,3,10,4.507,-4.127,0.537,0
0.422,4,-,1.958,3,7,7.027,5.343,2.268,0
0.462,9,-,2.280,3,9,5.401,5.920,2.031,0
0.544,5,+,2.302,1,1,7.175,-4.050,0.687,0
0.622,6,+,1.653,2,4,7.950,-8.408,0.116,0
0.043,3,-,2.460,2,5,6.049,6.349,3.880,1
0.850,9,-,2.074,1,2,6.870,2.283,0.930,0
0.534,2,-,2.006,2,6,6.426,-6.099,0.527,0
1.000,7,-,1.825,2,8,5.777,1.589,0.871,0
0.509,2,-,1.844,1,3,6.005,4.499,1.535,0
0.237,6,-,1.767,2,2,6.020,-2.837,1.373,1
0.967,4,-,1.674,2,6,3.936,4.558,1.218,0
0.387,4,-,2.322,1,6,4.987,4.678,2.260,0
0.026,5,-,2.302,2,3,7.855,3.186,3.182,1
0.934,6,-,1.824,2,9,6.451,6.595,1.072,0
0.218,4,-,1.757,3,1,5.680,-1.068,0.940,1
0.736,3,-,3.610,3,9,6.759,-7.251,0.183,1
0.402,4,+,2.022,1,2,5.844,0.262,1.597,0
0.199,6,-,2.584,1,10,4.952,7.149,2.485,0
0.348,2,+,1.897,1,7,6.939,-3.718,1.056,0
0.122,4,-,1.735,3,8,6.355,4.881,2.470,1
0.959,5,-,1.997,,4,5.411,7.993,1.353,0
0.925,4,-,2.479,3,1,5.310,5.193,1.730,0
0.606,5,-,1.789,1,7,6.852,3.886,1.628,0
0.360,3,-,2.029,1,5,2.633,2.847,1.627,0
0.776,4,-,1.941,1,10,5.470,-4.713,0.368,0
0.205,3,-,1.696,2,7,6.717,7.295,1.889,1
0.931,3,-,2.111,2,2,6.477,-4.988,0.545,0
0.174,5,-,1.963,1,1,5.612,0.179,1.173,0
0.148,4,-,2.507,3,7,5.984,4.446,1.591,1
0.641,5,+,1.791,2,10,5.365,6.679,1.724,0
0.290,6,-,2.208,3,10,5.334,-5.477,0.579,1
0.924,6,-,1.656,3,7,2.382,-4.164,0.435,0
